action,info,state,reward,done
"[0, 0, 0, 0, 0, -0.5]",0,"[-0.27628239  0.71504796  0.64115669  0.03595209 -0.22332252  0.57273221
  0.77483859 -0.14741105 -0.47114094  0.65740355  0.55786058 -0.18611381
 -0.01032729 -0.01356805 -0.04342199  0.05131921  0.03824524 -0.06825657
 -0.03763612 -0.05429356  0.0236852   0.04409953 -0.08997748  0.07567163
 -0.0399247  -0.05752002 -0.02691938  0.01846208  0.1228194   0.02178656
  0.30672324  0.29236166  0.40487585  0.40611727  0.26688233  0.38118183
  1.23848053  1.24757893  1.23705563]",0.055170091309550216,FALSE
"[0, 0, 0, 0, 0, 0.5]",0,"[-0.27662981  0.71453694  0.6415325   0.03672827 -0.22437068  0.57208018
  0.77501867 -0.14740464 -0.47207847  0.65631109  0.55901202 -0.18412831
 -0.03148074 -0.01622082 -0.02676797  0.02353638  0.04383995 -0.26401615
 -0.04956807 -0.05432397  0.00733029  0.04332032 -0.07757537 -0.34030006
 -0.03897717 -0.02618513 -0.0491634   0.01803947  0.10309428 -0.43511807
  0.30664758  0.29323396  0.40346341  0.40453987  0.26663223  0.3790725
  1.2386094   1.24786816  1.23758475]",0.05238746195398416,FALSE
"[-0.5, 0, 0, 0, 0, 0]",0,"[-0.27901773  0.71315289  0.64192252  0.03869793 -0.22913582  0.56989178
  0.77622548 -0.14210609 -0.4692077   0.6579354   0.5594683  -0.18428338
 -0.02621171 -0.00884908 -0.02427965  0.04305116 -0.02344601 -0.2115865
 -0.01274512 -0.01573094  0.01163979  0.02398247 -0.02006263 -0.05778392
 -0.02153951 -0.02093388 -0.01118556 -0.01668921  0.11139565  0.40267143
  0.30442638  0.29478703  0.40069591  0.40197285  0.26521936  0.37577251
  1.23906334  1.24855808  1.23866067]",0.06943340466206864,FALSE
"[0.5, 0, 0, 0, 0, 0]",0,"[-0.27812393  0.71327456  0.64223215  0.03774049 -0.23026877  0.5692302
  0.77658679 -0.14094763 -0.46952609  0.6575216   0.56020855 -0.18269367
 -0.03131871 -0.0087974  -0.01977666  0.02581954  0.02794153  0.02554091
 -0.03216346 -0.02891866  0.01394867  0.03013018 -0.0332272  -0.3101051
 -0.00432939 -0.00344892 -0.02116324  0.01651097  0.1026538  -0.44666453
  0.30256853  0.29549217  0.39955977  0.4007656   0.26481009  0.3745972
  1.2395159   1.24882129  1.23901572]",0.0754867148068632,FALSE
"[0, -0.5, 0, 0, 0, 0]",0,"[-0.27753992  0.71331029  0.64248126  0.03711946 -0.23070103  0.56896619
  0.77661902 -0.14112905 -0.47068631  0.65645549  0.56111828 -0.18073978
 -0.02456394 -0.00444325 -0.01626436  0.03118988 -0.02878081  0.10484804
 -0.01580563 -0.01103504 -0.00577198  0.00495702 -0.05285748  0.28705796
 -0.01590407 -0.01702203 -0.01426122  0.00880888  0.06468073  0.09835457
  0.30119291  0.295708    0.39837284  0.39973876  0.26485302  0.3735312
  1.23979919  1.24910166  1.23938988]",0.07504697234169355,FALSE
"[0, 0.5, 0, 0, 0, 0]",0,"[-2.78367131e-01  7.12951311e-01  6.42492204e-01  3.76289219e-02
 -2.30035911e-01  5.69340266e-01  7.76266075e-01 -1.42639834e-01
 -4.69616095e-01  6.57053059e-01  5.61224918e-01 -1.81020972e-01
 -1.43379052e-02 -1.20286779e-03  1.20763532e-02 -1.63636339e-02
  8.99070789e-04  8.88953175e-02 -1.71157139e-02 -1.01427636e-02
 -1.07498202e-02 -1.13060668e-02 -1.47550958e-02 -1.49056171e-01
 -1.19537577e-02 -8.37440206e-03 -1.03977088e-02  1.09813129e-02
  4.81281254e-02  8.35112667e-02  3.00322376e-01  2.95252694e-01
  3.97284532e-01  3.98776133e-01  2.65042853e-01  3.72690625e-01
  1.24003787e+00  1.24931015e+00  1.23982127e+00]",0.08207276198110103,FALSE
"[0, 0, -0.5, 0, 0, 0]",0,"[-2.77174622e-01  7.13656609e-01  6.42270512e-01  3.68383261e-02
 -2.32563498e-01  5.68502449e-01  7.76702428e-01 -1.39472301e-01
 -4.69535571e-01  6.56996485e-01  5.61543087e-01 -1.80447575e-01
 -3.04831657e-02 -6.95909293e-05  2.96315333e-02 -6.10395065e-02
  2.18080499e-02  6.29339332e-02 -4.38298113e-02 -2.30994020e-02
 -1.97904389e-02 -2.21104383e-02 -3.48330699e-02 -5.73055959e-01
 -2.25103223e-02  1.90876645e-02 -7.56375920e-03 -1.00088296e-02
  6.48533697e-02 -1.75825631e-01  2.99740414e-01  2.95019465e-01
  3.95685652e-01  3.97934741e-01  2.65487899e-01  3.71910831e-01
  1.24041120e+00  1.24938322e+00  1.24014892e+00]",0.07987329552436276,FALSE
"[0, 0, 0.5, 0, 0, 0]",0,"[-0.27735726  0.71381797  0.64197282  0.03752008 -0.23523405  0.56759784
  0.77704294 -0.13675491 -0.46980261  0.65676524  0.56193508 -0.1793708
 -0.03442324 -0.00779864  0.00350984 -0.02641004  0.03365618 -0.12484477
 -0.04480949 -0.02859559 -0.00569361  0.00760572 -0.07845251 -0.05753907
 -0.05354066 -0.00395111  0.00145003 -0.03015584  0.08153063  0.06978944
  0.29929545  0.29492003  0.39346827  0.39715096  0.26633869  0.37123049
  1.24086612  1.249493    1.24031537]",0.061872325898968336,FALSE
"[0, 0, 0, -0.5, 0, 0]",0,"[-0.27787742  0.71358594  0.64194571  0.03853517 -0.23543953  0.56750711
  0.77682655 -0.13800152 -0.46967189  0.65690939  0.56227468 -0.17811666
 -0.03538319 -0.01145305 -0.00926289 -0.00930818  0.04717216 -0.08087855
 -0.05737513 -0.04175139  0.00632991  0.032582   -0.10162057  0.09027193
 -0.08735126 -0.04257696  0.00733841 -0.06093386  0.14028171 -0.30133662
  0.29917509  0.29505391  0.39163671  0.39572363  0.26731174  0.37057916
  1.24132549  1.24955331  1.24045164]",0.04416261611437515,FALSE
"[0, 0, 0, 0.5, 0, 0]",0,"[-0.27779899  0.71354021  0.64198097  0.03935117 -0.23692426  0.56679522
  0.77698461 -0.1374954  -0.47079069  0.65628807  0.56297487 -0.17521814
 -0.06023178 -0.01919867 -0.0054789  -0.02857543  0.07999668 -0.06556435
 -0.06539629 -0.04657112  0.00454349  0.02628333 -0.07937412 -0.40191197
 -0.10804351 -0.06422292  0.02350636 -0.08821477  0.15609576 -0.16551556
  0.2993181   0.29563314  0.38996383  0.39362379  0.26835807  0.36995078
  1.24163421  1.24958193  1.24072526]",0.020539272237682607,FALSE
