action,info,state,reward,done
[-0.40463528 -0.16736081 -0.41523233 -0.32891172 -0.20466267 -0.18299007],3,"[ 0.54939373  0.55471312  0.16885681  0.60162053  0.36918681  0.49434439
  0.43505128  0.65578586  0.39081467  0.72257676  0.36037871  0.44189808
  0.01990325  0.12009421 -0.06713856  0.26010912 -0.27348746  0.11592252
  0.01571505  0.228604   -0.01451618  0.08007878 -0.28802613 -0.40585116
 -0.02799579  0.08885048 -0.04228584 -0.03853694  0.29373457 -0.38652265
  0.39074578  0.3173582   0.37010989  0.38915661  0.41103283  0.41266301
  1.22156456  1.22933581  1.22419055]",-0.03659598509986245,0
[-0.4428058  -0.15951437 -0.3824209  -0.2685183  -0.28207302 -0.16500297],3,"[ 0.54716814  0.55597298  0.17167391  0.60168857  0.36557899  0.49727085
  0.43414745  0.65619334  0.38946856  0.72285181  0.35729677  0.44512753
  0.01613696  0.13107301 -0.08171704  0.27538664 -0.28971534  0.2696641
  0.01344959  0.22759645 -0.01231481  0.08912093 -0.29356118 -0.30412612
 -0.03289656  0.12428495 -0.03836642 -0.03259567  0.28480095  0.11980327
  0.38230554  0.31760643  0.36237663  0.38287741  0.40699639  0.41059617
  1.22395872  1.23105035  1.2264352 ]",-0.04939953898702759,0
[-0.44588187 -0.22430517 -0.37520322 -0.2087397  -0.3094474  -0.20441873],3,"[ 0.54469811  0.55737422  0.17448222  0.60182547  0.36155272  0.50043866
  0.43275128  0.65693768  0.38945748  0.72240755  0.35515406  0.44756652
  0.0118538   0.16216824 -0.08037438  0.29550577 -0.28409921  0.23291256
  0.01489516  0.24437116 -0.01914879  0.08299164 -0.29793222 -0.59015571
 -0.02616616  0.12008867 -0.04746553 -0.04702543  0.26978068 -0.53047972
  0.37382731  0.31780733  0.35489329  0.3769565   0.40284067  0.40853313
  1.22629204  1.23266926  1.22866231]",-0.06493962947713208,0
[-0.44638038 -0.15167671 -0.2587084  -0.25072652 -0.1954166  -0.1799528 ],3,"[ 0.54316725  0.55785359  0.17859077  0.60155968  0.35687889  0.50404308
  0.43072093  0.65807106  0.3871026   0.72321182  0.35196514  0.4508179
  0.00997412  0.17117383 -0.07930566  0.31082772 -0.28520125 -0.80716651
  0.01497254  0.25582592 -0.02276693  0.09392427 -0.32886245 -0.40573192
 -0.03796518  0.13936944 -0.05075687 -0.0132979   0.20132741 -0.59979438
  0.36522458  0.31794285  0.34789455  0.3714589   0.39888969  0.40641957
  1.22854366  1.23417699  1.23081009]",-0.0822683281459478,0
[-0.42994133 -0.16339871 -0.27226427 -0.19735247 -0.19562903 -0.15186283],3,"[ 0.53985342  0.56008162  0.18105137  0.60173687  0.35336208  0.50662707
  0.43083005  0.65791315  0.38486489  0.72391469  0.34933474  0.45364278
 -0.0017095   0.18393297 -0.0587436   0.3211885  -0.28082986 -0.92594523
  0.00894599  0.26679651 -0.00770936  0.12505493 -0.33931896 -0.26836157
 -0.04393515  0.13449531 -0.0505102   0.00740502  0.16897955 -0.68713665
  0.35680887  0.31810281  0.34148411  0.36632962  0.39531014  0.40440399
  1.23067558  1.23558665  1.23275798]",-0.09171745072315768,0
[-0.43970388 -0.1902887  -0.20150276 -0.27984548 -0.17346892 -0.17773265],3,"[ 5.37533737e-01  5.61399275e-01  1.84624076e-01  6.01500031e-01
  3.49611381e-01  5.09260430e-01  4.30779579e-01  6.57916903e-01
  3.80310559e-01  7.25828047e-01  3.45545042e-01  4.57314058e-01
  2.08498355e-03  2.13682384e-01 -6.39886035e-02  2.88828977e-01
 -3.40488518e-01  3.85046102e-02  5.06492790e-03  2.54611855e-01
 -2.10513525e-04  1.32116456e-01 -3.18973072e-01 -2.82486400e-01
 -4.30084204e-02  1.30261491e-01 -5.03368226e-02  6.11092650e-03
  1.63095097e-01 -7.13620401e-01  3.48398952e-01  3.18304987e-01
  3.35703672e-01  3.61454248e-01  3.92074793e-01  4.02499267e-01
  1.23279483e+00  1.23691909e+00  1.23444862e+00]",-0.0966850134785141,0
[-0.4396273  -0.18093136 -0.2764262  -0.27053076 -0.24072523 -0.16644883],3,"[ 5.35650294e-01  5.62427621e-01  1.88405557e-01  6.01046819e-01
  3.45797617e-01  5.11828930e-01  4.30302395e-01  6.58251475e-01
  3.77010121e-01  7.27091239e-01  3.42408051e-01  4.60389428e-01
  6.25990637e-03  1.85246549e-01 -5.81499083e-02  2.73068531e-01
 -3.18990398e-01  4.70357477e-01  2.84922053e-03  2.30905142e-01
  1.06560139e-03  1.20155415e-01 -2.77105067e-01 -4.01489653e-01
 -3.94695942e-02  1.29556446e-01 -4.31091411e-02 -1.50315323e-02
  1.77591633e-01 -3.66446269e-01  3.39926177e-01  3.18506639e-01
  3.30462911e-01  3.56613236e-01  3.89079346e-01  4.00687234e-01
  1.23491794e+00  1.23817383e+00  1.23600264e+00]",-0.08783524224940847,0
[-0.41406024 -0.1637666  -0.2616588  -0.19064283 -0.23708561 -0.22128983],3,"[ 0.5334469   0.56382406  0.19143721  0.60074006  0.34206941  0.51429639
  0.4293941   0.65886907  0.37652307  0.726926    0.34086381  0.46219133
 -0.0106843   0.16798206 -0.03845442  0.25127552 -0.27667774 -0.31260915
 -0.00129956  0.20107037  0.01015285  0.11877337 -0.23828484 -0.3129644
 -0.03649297  0.10726126 -0.04569703 -0.01818949  0.18874813  0.19470722
  0.33175255  0.31871018  0.3255084   0.35200919  0.3860245   0.39893225
  1.23690341  1.2394044   1.23749892]",-0.06797700831067503,0
[-0.42057294 -0.15268686 -0.1832394  -0.34420788 -0.29941595 -0.19480377],3,"[ 5.33471352e-01  5.63093366e-01  1.96614464e-01  5.99730714e-01
  3.38025751e-01  5.16835852e-01  4.27761326e-01  6.60029955e-01
  3.76817056e-01  7.26342267e-01  3.39926233e-01  4.63557951e-01
 -5.23437114e-04  1.49976970e-01 -4.38908459e-02  2.44831270e-01
 -3.08183158e-01  6.15171405e-02 -7.55927912e-04  1.93056162e-01
  7.26372239e-03  1.10969781e-01 -2.23938805e-01 -4.21079918e-01
 -3.62538940e-02  1.05090660e-01 -4.48389955e-02 -1.69867321e-03
  1.56291150e-01 -2.18618979e-01  3.23972296e-01  3.18962655e-01
  3.21145374e-01  3.47505745e-01  3.82911734e-01  3.97019659e-01
  1.23892210e+00  1.24052545e+00  1.23883300e+00]",-0.050800588771882454,0
[-0.44355902 -0.21122412 -0.16568738 -0.3379928  -0.31660426 -0.19007632],3,"[ 5.30642278e-01  5.65243357e-01  1.99006521e-01  5.99428998e-01
  3.34949634e-01  5.18730745e-01  4.27344787e-01  6.60381397e-01
  3.74890495e-01  7.26857469e-01  3.37976629e-01  4.65732901e-01
 -6.10855664e-03  1.39779058e-01 -5.23129884e-02  2.57467828e-01
 -3.46024297e-01  4.32163972e-01 -6.40396599e-04  1.86077695e-01
  5.64805310e-03  1.10792548e-01 -2.24795849e-01 -2.08213240e-01
 -3.78998551e-02  9.13993556e-02 -5.16799456e-02  2.62379675e-02
  1.23306122e-01 -5.36045405e-01  3.16479091e-01  3.19135963e-01
  3.17439944e-01  3.42687058e-01  3.79510373e-01  3.95149300e-01
  1.24093410e+00  1.24172581e+00  1.24003100e+00]",-0.04164527944433712,0
