0,1,2,3,4,5,6,7,8
-0.0658046,-0.058045615,-0.10377092,0.05522715,-0.051603068,0.07097292,0.07343985,-0.00863565,-0.04884601
-0.092352204,-0.0033371085,-0.18213068,-0.08084829,-0.0018843004,0.11015223,-0.008386426,-0.052040353,-0.056025375
-0.20009987,-0.02827806,-0.20873994,0.05992701,-0.04466544,0.07363489,0.027028687,0.0031751194,-0.021947663
-0.13553365,-0.002996925,-0.10210944,0.05218387,-0.13430546,0.18375355,0.08867377,-0.038454693,0.048474714
-0.3767233,-0.03947316,-0.113508865,-0.008081829,-0.10178311,0.28689536,0.08295007,0.05149158,0.03541723
-0.52713984,-0.04986159,-0.1332014,0.115235664,-0.0835851,0.47434562,0.14538567,0.036957275,0.055126972
-0.6316355,0.027846107,-0.19057623,0.20934191,-0.23851277,0.570039,0.27642933,0.019928979,-0.014719158
-0.72444606,0.011098227,-0.14025572,0.2616979,-0.35520676,0.5600593,0.30649516,-0.053688798,-0.010439363
-0.8744063,-0.013501416,-0.22699457,0.39876994,-0.5346278,0.5714273,0.53852385,-0.009933657,0.036825914
-0.999,0.019974288,-0.20952944,0.42136726,-0.48060194,0.5261222,0.5072735,-0.04848188,0.03454627
-0.999,0.05038799,-0.21285659,0.46182498,-0.5982988,0.4494071,0.55487823,-0.025099136,0.039542157
-0.999,0.017481202,-0.14549632,0.540534,-0.5116253,0.3119091,0.6023806,-0.040061183,0.021028979
-0.999,0.052707218,-0.22809012,0.6488113,-0.5553651,0.3074737,0.49748382,0.038547132,-0.060384907
-0.999,-0.026623812,-0.2682905,0.695253,-0.4976285,0.26012754,0.4067893,-0.01993788,-0.048703417
-0.999,-0.025503851,-0.25473994,0.6220068,-0.5563026,0.15400247,0.42478713,0.06050675,0.011739918
-0.999,0.030383423,-0.25873595,0.6806002,-0.52271354,0.16208303,0.33516237,0.033421118,-0.031266984
-0.999,0.056433275,-0.29114753,0.60649264,-0.58479816,0.1291931,0.35154274,-0.009707023,0.03708397
-0.999,-0.038955305,-0.2754906,0.69261414,-0.44391188,0.06384602,0.36481145,0.0352206,-0.059216853
-0.999,-0.044616852,-0.20586924,0.5900012,-0.2877964,0.06349918,0.23264046,0.058977492,0.007522276
-0.999,-0.010646069,-0.23252676,0.5195807,-0.21109341,-0.052400906,0.17525345,0.031614907,-0.050767988
-0.9954004,-0.0111512495,-0.20571935,0.4656376,-0.2720221,-0.08076587,0.1351279,0.040156238,-0.042760365
-0.80021256,0.057614625,-0.22257726,0.4691761,-0.20825449,-0.07257537,0.1771797,-0.045104276,0.035033748
-0.69650525,0.010014863,-0.19360217,0.48102522,-0.33442497,-0.045722816,0.23614043,-0.04567798,0.05985185
-0.7088817,0.08858043,-0.16674995,0.57830995,-0.4402411,-0.10098963,0.21168554,0.04925941,-0.0053375815
-0.7077615,-0.04955897,-0.19511971,0.6544647,-0.4369693,-0.08537036,0.2402342,8.3722574e-05,0.026851023
-0.5957043,-0.033570386,-0.24221548,0.6549153,-0.37156183,-0.15644905,0.1871766,0.05304615,-0.0072714
-0.47911322,0.0761424,-0.2502657,0.6473987,-0.18390669,-0.12044543,-0.0049076285,-0.022631241,-0.047901165
-0.4326102,-0.053508658,-0.22526745,0.54306954,-0.1403432,-0.100829765,-0.016498277,-0.088797465,-0.06077058
-0.3511034,-0.018610043,-0.2062503,0.37650803,-0.016538445,-0.11705355,0.015481321,-0.129675,-0.15319943
-0.19357337,0.047656793,-0.25496837,0.27554175,0.073388174,-0.21930876,0.034819346,-0.24864878,-0.2038689
0.02607607,-0.027055304,-0.09906501,0.028637808,0.14912459,-0.10739322,-0.06691419,-0.19975281,-0.10910857
0.15414104,0.047944963,-0.17905587,-0.20283194,0.23452207,-0.04061323,0.024127912,-0.14482296,-0.11425834
0.5336352,0.049394395,-0.17143036,-0.47303355,0.2277436,-0.020654552,-0.06698624,-0.11196533,-0.105154365
0.75060993,0.118347846,-0.050775614,-0.58401245,0.2767975,0.09418609,-0.029637529,-0.16477045,-0.08981485
0.85800254,0.09895858,-0.00063977623,-0.64320445,0.3624355,0.10122701,-0.07909122,-0.09592324,-0.14513904
0.9603724,0.1366962,-0.08065949,-0.63337284,0.27300376,0.021071509,-0.07382696,-0.16002674,-0.15616365
0.999,0.16731595,-0.07237337,-0.5053661,0.36534268,-0.067316495,-0.22346684,-0.10007344,-0.092270814
0.999,0.16553354,-0.03058371,-0.26117098,0.39850175,-0.019799408,-0.2822025,-0.1899326,-0.117802784
0.959845,0.19032606,-0.15938383,-0.17567441,0.57492626,-0.12397583,-0.3026503,-0.17827627,-0.04012476
0.89989454,0.10442646,-0.1181095,-0.0012200997,0.448506,-0.13115418,-0.31758416,-0.1831522,-0.00884166
0.7676412,0.014312836,-0.31942728,0.044370573,0.49064666,-0.16736598,-0.31880072,-0.22386408,-0.0077848495
0.68373114,0.035521474,-0.24249692,0.12470114,0.45271584,-0.053439718,-0.34020546,-0.22464418,-0.06285655
0.6464584,0.0220061,-0.2730003,0.2330542,0.34033796,-0.10300807,-0.2140619,-0.19990124,0.01521233
0.5221629,0.060210418,-0.35324362,0.2208289,0.32238364,-0.2161741,-0.258898,-0.28025916,0.035377447
0.4409599,0.022086741,-0.20851609,0.105355024,0.1341676,-0.22340304,-0.099256,-0.15978338,0.008913786
0.4355011,0.038882315,-0.25040677,0.03329545,0.17900313,-0.18855403,-0.19350936,-0.08017011,-0.0028252115
0.32194588,0.065115385,-0.168248,-0.105828084,0.32989982,-0.27793962,-0.22076304,0.04176268,0.14494057
0.39972743,0.042975787,-0.15557867,-0.28119814,0.3995513,-0.28566292,-0.29036343,0.1237456,0.07760441
0.51418716,0.017797904,-0.05256354,-0.5013292,0.52785915,-0.35267222,-0.39826992,0.07042252,0.04266544
0.58681,-0.0060048825,0.063810594,-0.5983548,0.72381705,-0.54727685,-0.49915218,0.031084424,0.06619081
0.6516229,-0.016290851,0.091075055,-0.61932033,0.73832923,-0.5420124,-0.57656616,0.041508984,-0.008159932
0.7107542,0.096579805,0.09628771,-0.66885895,0.83277375,-0.658423,-0.42094117,0.06210232,0.030854119
0.6010311,-0.054430317,0.0059802975,-0.47725525,0.74579394,-0.70272285,-0.3404358,-0.027811583,-0.014567197
0.40503177,-0.07139545,-0.0010172724,-0.47401106,0.4819645,-0.6575725,-0.203106,-0.04536267,0.00940014
0.26146168,-0.006867377,-0.031337332,-0.37168258,0.29272914,-0.6192278,-0.065147504,0.029246895,0.0059983437
0.08020895,0.0053178356,-0.06779609,-0.29530597,0.17230555,-0.54560566,0.05328123,0.039895795,-0.0149608245
-0.007851799,0.03365038,-0.13346472,-0.3560712,0.06473725,-0.49376076,-0.0058106994,-0.047845196,0.039194327
-0.06753945,0.010808021,-0.08379701,-0.31687367,0.13374618,-0.4440149,0.082481034,0.026303854,-0.057693116
-0.22119126,0.04637958,-0.026374629,-0.3012353,0.09391982,-0.13859153,-0.035891756,0.0092024235,-0.035901297
-0.182361,0.0068562487,-0.10582214,-0.30814424,0.14810702,-0.11833513,0.057213794,0.050552525,0.03021767
-0.3002479,-0.010768169,-0.029901208,-0.23003212,0.069911174,0.048550088,-0.001148479,-0.0137874335,0.050776184
-0.33128422,0.008192647,-0.003990546,-0.26833004,0.061491046,0.0939689,0.035032634,0.05335719,0.028302673
-0.3499336,-0.03746267,0.0015818889,-0.24473941,0.1518414,0.22402905,0.023832778,-0.04307492,0.028800184
-0.39589274,0.03518921,-0.017268693,-0.21608949,0.090946436,0.2970362,-0.00036226393,0.008935823,0.019698689
-0.39203167,0.021808447,0.000287655,-0.20959379,0.09879147,0.3221743,-0.0014371645,0.03853337,-0.006578088
-0.4439284,-0.063136466,-0.039279312,-0.27808258,0.028011033,0.44886994,-0.018481266,-0.027191516,-0.03765161
-0.48804396,0.04184163,-0.042237297,-0.18401428,0.019891905,0.498543,-0.014050235,0.021734908,-0.023052266
-0.47028193,-0.027342087,0.015264764,-0.17481987,-0.042788617,0.46291924,0.033514135,-0.020889446,-0.0077412673
-0.5326008,-0.013367023,-0.020924313,-0.054415736,0.1045932,0.44679317,-0.014745219,-0.023791634,-0.023052052
-0.57994086,0.066373505,-0.075907394,-0.15301013,0.009057457,0.43473703,-0.08072975,-0.013799624,-0.013300908
-0.46243176,0.045649294,-0.09642797,-0.10074317,-0.099243954,0.4166829,-0.01630284,-0.18026401,-0.13547741
-0.3847658,-0.046865202,-0.13042104,-0.16143791,-0.18526249,0.24187918,-0.05112038,-0.19438908,-0.19889383
-0.2740718,0.06498845,-0.26386824,-0.26232,-0.28751144,0.2431042,-0.017249761,-0.16376019,-0.18279727
-0.39303437,0.039867323,-0.302006,-0.3627349,-0.34922156,0.39286774,-0.024134653,-0.08746083,-0.15039366
